,full_address,home_link
12,"860 N Jesse St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/860-N-Jesse-St-85225/home/27899301
13,"765 W MONTEREY St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/765-W-Monterey-St-85225/home/27402748
14,"281 S CALIFORNIA St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/281-S-California-St-85225/home/28386732
15,"100 W GERONIMO St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/100-W-Geronimo-St-85225/home/27589796
16,"720 E Stottler Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/720-E-Stottler-Pl-85225/home/28398355
17,"735 W PALOMINO Dr, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/735-W-Palomino-Dr-85225/unit-D/home/27575993
18,"755 E Tyson St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/755-E-Tyson-St-85225/home/27370351
19,"112 S Cottonwood St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/112-S-Cottonwood-St-85225/home/27533838
20,"445 S Washington St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/445-S-Washington-St-85225/home/27270854
0,"2102 E KESLER Ln, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/2102-E-Kesler-Ln-85225/home/95462304
1,"874 W WHITTEN St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/874-W-Whitten-St-85225/home/28229626
2,"411 W CURRY St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/411-W-Curry-St-85225/home/28247060
3,"177 E CAMPBELL Rd, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/177-E-Campbell-Rd-85225/home/27011993
4,"761 N TOWER Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/761-N-Tower-Pl-85225/home/27493444
5,"510 S EMERSON St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/510-S-Emerson-St-85225/home/27481520
6,"1271 E LINDA Ln, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/1271-E-Linda-Ln-85225/home/28206103
7,"1870 E LAREDO Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/1870-E-Laredo-Pl-85225/home/27005352
8,"241 N NORMAN Way, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/241-N-Norman-Way-85225/home/95457623
9,"847 W GLENMERE Dr, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/847-W-Glenmere-Dr-85225/home/28123751
10,"546 N Oxford Ln, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/546-N-Oxford-Ln-85225/home/28091120
11,"848 W Shannon St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/848-W-Shannon-St-85225/home/27745187
12,"2153 E CARLA VISTA Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/2153-E-Carla-Vista-Pl-85225/home/28032559
13,"507 N NEWPORT St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/507-N-Newport-St-85225/home/27446127
14,"770 N Tower Pl, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/770-N-Tower-Pl-85225/home/27014807
15,"2443 E KEMPTON Rd, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/2443-E-Kempton-Rd-85225/home/27259774
16,"2070 E Whitten St, Chandler, AZ 85225",https://www.redfin.com/AZ/Chandler/2070-E-Whitten-St-85225/home/27109065
