,city,tot_act_pend,num_pgs,,city,,,,
168,Springfield MA,596,24,24,Springfield,MA,,,"Springfield, MA"
223,Yonkers NY,591,24,24,Yonkers,NY,,,"Yonkers, NY"
283,Wilmington DE,594,24,24,Wilmington,DE,,,"Wilmington, DE"
304,Newark NJ,586,24,24,Newark,NJ,,,"Newark, NJ"
7,Kansas City KS,550,23,22,Kansas,City,KS,,"Kansas City, KS"
79,Independence MO,556,23,23,Independence,MO,,,"Independence, MO"
113,Charleston WV,562,23,23,Charleston,WV,,,"Charleston, WV"
279,Boulder CO,552,23,23,Boulder,CO,,,"Boulder, CO"
93,Topeka KS,541,22,22,Topeka,KS,,,"Topeka, KS"
97,Oceanside CA,541,22,22,Oceanside,CA,,,"Oceanside, CA"
129,Sterling Heights MI,514,21,21,Sterling,Heights,MI,,"Sterling Heights, MI"
131,Grand Rapids MI,521,21,21,Grand,Rapids,MI,,"Grand Rapids, MI"
171,West Chester PA,521,21,21,West,Chester,PA,,"West Chester, PA"
301,Green Bay WI,521,21,21,Green,Bay,WI,,"Green Bay, WI"
5,Syracuse NY,475,20,19,Syracuse,NY,,,"Syracuse, NY"
80,Albany NY,486,20,20,Albany,NY,,,"Albany, NY"
156,Owensboro KY,486,20,20,Owensboro,KY,,,"Owensboro, KY"
278,Schenectady NY,483,20,20,Schenectady,NY,,,"Schenectady, NY"
10,Fremont CA,467,19,19,Fremont,CA,,,"Fremont, CA"
20,Pasadena CA,450,19,18,Pasadena,CA,,,"Pasadena, CA"
119,Mission TX,468,19,19,Mission,TX,,,"Mission, TX"
193,Santa Ana CA,452,19,19,Santa,Ana,CA,,"Santa Ana, CA"
196,Appleton WI,463,19,19,Appleton,WI,,,"Appleton, WI"
225,Grand Prairie TX,460,19,19,Grand,Prairie,TX,,"Grand Prairie, TX"
256,Redding CA,467,19,19,Redding,CA,,,"Redding, CA"
259,Beaverton OR,473,19,19,Beaverton,OR,,,"Beaverton, OR"
308,Brownsville TX,452,19,19,Brownsville,TX,,,"Brownsville, TX"
33,Helena MT,433,18,18,Helena,MT,,,"Helena, MT"
169,Tracy CA,431,18,18,Tracy,CA,,,"Tracy, CA"
221,Casper WY,429,18,18,Casper,WY,,,"Casper, WY"
236,Duluth MN,442,18,18,Duluth,MN,,,"Duluth, MN"
257,Edison NJ,436,18,18,Edison,NJ,,,"Edison, NJ"
260,Poughkeepsie NY,443,18,18,Poughkeepsie,NY,,,"Poughkeepsie, NY"
297,Beaumont TX,439,18,18,Beaumont,TX,,,"Beaumont, TX"
63,Flint MI,423,17,17,Flint,MI,,,"Flint, MI"
83,Saint Charles MO,410,17,17,Saint,Charles,MO,,"Saint Charles, MO"
124,Lakewood NJ,421,17,17,Lakewood,NJ,,,"Lakewood, NJ"
213,Youngstown OH,412,17,17,Youngstown,OH,,,"Youngstown, OH"
222,Manchester NH,412,17,17,Manchester,NH,,,"Manchester, NH"
232,Allentown PA,408,17,17,Allentown,PA,,,"Allentown, PA"
270,Scranton PA,405,17,17,Scranton,PA,,,"Scranton, PA"
50,Davenport IA,385,16,16,Davenport,IA,,,"Davenport, IA"
111,Hattiesburg MS,382,16,16,Hattiesburg,MS,,,"Hattiesburg, MS"
239,Belleville IL,390,16,16,Belleville,IL,,,"Belleville, IL"
243,Hartford CT,381,16,16,Hartford,CT,,,"Hartford, CT"
262,Orange CA,392,16,16,Orange,CA,,,"Orange, CA"
75,Binghamton NY,356,15,15,Binghamton,NY,,,"Binghamton, NY"
112,Flushing NY,356,15,15,Flushing,NY,,,"Flushing, NY"
195,Santa Barbara CA,363,15,15,Santa,Barbara,CA,,"Santa Barbara, CA"
219,Lancaster PA,366,15,15,Lancaster,PA,,,"Lancaster, PA"
251,Reading PA,364,15,15,Reading,PA,,,"Reading, PA"
21,Hayward CA,346,14,14,Hayward,CA,,,"Hayward, CA"
106,Glendale CA,345,14,14,Glendale,CA,,,"Glendale, CA"
109,Ogden UT,336,14,14,Ogden,UT,,,"Ogden, UT"
176,Des Plaines IL,348,14,14,Des,Plaines,IL,,"Des Plaines, IL"
201,Concord CA,332,14,14,Concord,CA,,,"Concord, CA"
247,Trenton NJ,343,14,14,Trenton,NJ,,,"Trenton, NJ"
28,Rapid City SD,322,13,13,Rapid,City,SD,,"Rapid City, SD"
76,New Haven CT,322,13,13,New,Haven,CT,,"New Haven, CT"
84,Clifton NJ,310,13,13,Clifton,NJ,,,"Clifton, NJ"
115,Paterson NJ,321,13,13,Paterson,NJ,,,"Paterson, NJ"
141,Springfield OH,311,13,13,Springfield,OH,,,"Springfield, OH"
170,Livermore CA,317,13,13,Livermore,CA,,,"Livermore, CA"
178,Lafayette IN,323,13,13,Lafayette,IN,,,"Lafayette, IN"
203,New Bedford MA,312,13,13,New,Bedford,MA,,"New Bedford, MA"
266,Salinas CA,305,13,13,Salinas,CA,,,"Salinas, CA"
307,Littleton CO,304,13,13,Littleton,CO,,,"Littleton, CO"
39,Harrisburg PA,294,12,12,Harrisburg,PA,,,"Harrisburg, PA"
47,Roswell NM,296,12,12,Roswell,NM,,,"Roswell, NM"
59,Portland ME,287,12,12,Portland,ME,,,"Portland, ME"
120,Lake Worth FL,290,12,12,Lake,Worth,FL,,"Lake Worth, FL"
132,Jamaica NY,293,12,12,Jamaica,NY,,,"Jamaica, NY"
150,Morgantown WV,285,12,12,Morgantown,WV,,,"Morgantown, WV"
174,Kalamazoo MI,292,12,12,Kalamazoo,MI,,,"Kalamazoo, MI"
183,Lowell MA,292,12,12,Lowell,MA,,,"Lowell, MA"
233,Saint Cloud MN,298,12,12,Saint,Cloud,MN,,"Saint Cloud, MN"
309,Racine WI,284,12,12,Racine,WI,,,"Racine, WI"
144,Bethlehem PA,257,11,11,Bethlehem,PA,,,"Bethlehem, PA"
214,Waukegan IL,259,11,11,Waukegan,IL,,,"Waukegan, IL"
227,Astoria NY,272,11,11,Astoria,NY,,,"Astoria, NY"
289,Provo UT,268,11,11,Provo,UT,,,"Provo, UT"
292,Pasadena TX,251,11,11,Pasadena,TX,,,"Pasadena, TX"
37,Olympia WA,227,10,10,Olympia,WA,,,"Olympia, WA"
87,Santa Cruz CA,228,10,10,Santa,Cruz,CA,,"Santa Cruz, CA"
126,Carson City County NV,227,10,10,Carson,City,County,NV,"Carson City County, NV"
160,Compton CA,236,10,10,Compton,CA,,,"Compton, CA"
6,York PA,211,9,9,York,PA,,,"York, PA"
