RegionName,City,State,CountyName,name,SizeRank,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07
85340,Litchfield-Park,AZ,Maricopa,Litchfield-Park-AZ-85340,3790,345000,345245,339888,330000,334900,346250,349900,340147,361240,362490,357500,369900
85335,El-Mirage,AZ,Maricopa,El-Mirage-AZ-85335,3890,185000,185000,184950,188000,187017,189900,191900,194900,194900,195000,197900,200000
85119,Apache-Junction,AZ,Pinal,Apache-Junction-AZ-85119,3929,221450,227450,234900,219950,227450,240450,234950,234950,235347.5,229000,224900,224650
86401,Kingman,AZ,Mohave,Kingman-AZ-86401,3931,174900,174975,179900,198900,206950,209500,212900,199900,219999,211449,222250,212000
85737,Oro-Valley,AZ,Pima,Oro-Valley-AZ-85737,3941,309950,312450,304450,329850,335000,331395,334900,325000,325000,325000,325000,328250
85024,Phoenix,AZ,Maricopa,Phoenix-AZ-85024,3946,279900,279900,280000,284500,279950,280000,287000,289150,303950,288000,285000,279000
85297,Gilbert,AZ,Maricopa,Gilbert-AZ-85297,4082,331990,327300,319000,322250,314900,325000,339900,329950,330000,339450,344500,344250
86303,Prescott,AZ,Yavapai,Prescott-AZ-86303,4180,416850,429250,432500,429450,429000,435000,424900,430000,435000,428000,430000,429000
85629,Sahuarita,AZ,Pima,Sahuarita-AZ-85629,4187,200000,206000,210000,209900,205000,205000,208500,205750,207000,210000,217000,209700
85259,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85259,4249,699925,690000,727450,749900,779000,775000,799950,799900,799900,799000,799000,799000
85756,Tucson,AZ,Pima,Tucson-AZ-85756,4313,180000,190000,190735,194900,195950,199000,196449.5,189900,190000,182500,180000,184990
85132,Florence,AZ,Pinal,Florence-AZ-85132,4341,185900,180900,185000,189900,194450,195990,189995,195995,199900,189900,194490,199900
85013,Phoenix,AZ,Maricopa,Phoenix-AZ-85013,4343,325000,325000,323000,320000,320000,324950,318250,314700,324900,325000,327000,341500
85641,Vail,AZ,Pima,Vail-AZ-85641,4396,259450,260000,260000,259000.5,254990,259500,259000,265450,269990,275000,275256,275000
85381,Peoria,AZ,Maricopa,Peoria-AZ-85381,4444,269000,264750,257500,250000,260000,257500,271900,279950,285000,297500,299900,299900
85040,Phoenix,AZ,Maricopa,Phoenix-AZ-85040,4451,163000,165000,169199.5,170000,175000,175700,180000,179900,182950,188000,185000,185375
85304,Glendale,AZ,Maricopa,Glendale-AZ-85304,4470,219000,220000,225000,229000,225000,229900,228720,229250,229995,233950,235000,238800
85085,Phoenix,AZ,Maricopa,Phoenix-AZ-85085,4573,382450,379900,382450,382990,384990,385000,390990,390000,399875,399990,398499.5,399000
86404,Lake-Havasu-City,AZ,Mohave,Lake-Havasu-City-AZ-86404,4579,335000,339900,334900,339950,334000,339949.5,339900,332400,339250,349250,334990,334900
86403,Lake-Havasu-City,AZ,Mohave,Lake-Havasu-City-AZ-86403,4581,245000,249900,235000,239000,231000,237250,249900,243800,239950,239000,249000,269500
86305,Prescott,AZ,Yavapai,Prescott-AZ-86305,4623,573000,589000,579500,579000,589000,589000,575000,550000,549000,563870,566935,559450
85303,Glendale,AZ,Maricopa,Glendale-AZ-85303,4638,204900,202450,200000,200000,210950,209900,209950,210000,209949.5,215000,209900,214900
85306,Glendale,AZ,Maricopa,Glendale-AZ-85306,4675,225000,229850,229450,228900,229900,234975,238400,245000,250950,251612.5,237400,237000
85006,Phoenix,AZ,Maricopa,Phoenix-AZ-85006,4737,259000,259000,254999,264900,259950,289802,289900,292499.5,299000,299400,300000,300000
85373,Sun-City,AZ,Maricopa,Sun-City-AZ-85373,4795,229450,228000,225400,228750,229000,221000,223250,224500,225000,236900,240000,250000
85250,Scottsdale,AZ,Maricopa,Scottsdale-AZ-85250,4798,329500,329700,339750,362500,374900,360000,359000,365000,379000,388404.5,379900,365000
85747,Tucson,AZ,Pima,Tucson-AZ-85747,4876,224900,225000,225000,220000,219900,220495,225000,229900,225000,230000,229995,230000
85388,Surprise,AZ,Maricopa,Surprise-AZ-85388,4930,246000,250000,249900,254997.5,254995,264990,265652,265000,263500,265000,260000,265995
85739,Catalina,AZ,Pima,Catalina-AZ-85739,4955,325000,335000,329000,339000,335000,325000,335000,339450,339000,334998.5,335000,347000
85396,Buckeye,AZ,Maricopa,Buckeye-AZ-85396,5026,294995,288992.5,287990,279990,284900,283925,285850,281631.5,284900,289068.5,289900,289000
85043,Phoenix,AZ,Maricopa,Phoenix-AZ-85043,5099,194500,190000,193000,191000,187000,188500,195000,199500,201500,205000,209900,212900
85715,Tucson,AZ,Pima,Tucson-AZ-85715,5163,245000,245000,247000,255000,248900,255000,249900,245750,249900,255000,250000,253500
85215,Mesa,AZ,Maricopa,Mesa-AZ-85215,5212,279450,294900,297450,280000,278500,279000,279000,290000,304900,300000,320000,325000
85028,Phoenix,AZ,Maricopa,Phoenix-AZ-85028,5273,377500,379900,382400,384500,381450,379478.5,395000,395042,395000,395000,389950,399900
85901,Show-Low,AZ,Navajo,Show-Low-AZ-85901,5317,264450,269000,269000,268750,274000,262490,259900,265000,269900,279900,275000,274900
